construction,N,num_blocks,num_matching,predicted_alpha,actual_alpha,alpha_gap,d_max,c,k4_free,block_ids,k_copies,source,g6
single,80,1,25,35,35,0,6,1.465,1,596,10,,~?@O??FE{???????????F?@n?????????????????????[??@n??????????????????????????????F????E{???????????????????????????????????????F?????@n?????G?????????????A??????C??????C??????A????????[??????@n????_????????????????_???????O???????C????????_???????????F????????E{??G???????????????????_????????C?????????O?????????_???????????????F?????????@n?G?????????????????????A??????????C??????????C??????????A????????????????????[??????????@n_????????????????????????_???????????O???????????C????????????_???????????????????????F????????????E{
single,88,1,27,39,39,0,6,1.4841,1,596,11,,~?@W??FE{???????????F?@n?????????????????????[??@n??????????????????????????????F????E{???????????????????????????????????????F?????@n?????????????@?????????????????????C?????????????[??????@n?????G????????????????G???????C???????@????????G??????????F????????E{???A???????????????????G????????@?????????C?????????G??????????????F?????????@n??A??????????????????????_?????????@??????????@???????????_??????????????????[??????????@n?G????????????????????????G???????????C???????????@????????????G??????????????????????F????????????E}???????????????????????????G????????????@????????????????????G?????????????O???????????????????F?????????????@n
single,96,1,30,42,42,0,6,1.465,1,596,12,,~?@_??FE{???????????F?@n?????????????????????[??@n??????????????????????????????F????E{???????????????????????????????????????F?????@n?????????????????????????????????????????????????[??????@n??????A????????????????A???????@????????O???????A?????????F????????E{?????_??????????????????A?????????O????????@?????????A?????????????F?????????@n????_?????????????????????G??????????O??????????O??????????G?????????????????[??????????@n??A????????????????????????A???????????@????????????O???????????A?????????????????????F????????????E{?_??????????????????????????A?????????????O????????????@?????????????A?????????????????????????F?????????????@n_?????????????????????????????G??????????????O??????????????O??????????????G?????????????????????????????[??????????????@n
single,16,1,5,7,7,0,6,1.465,1,602,2,,O??Ff\?_???_A?C??F_@v
single,24,1,7,11,11,0,6,1.5348,1,602,3,,W??Ff]????????A??F_@vO??O?????G???A??@????]??@v
single,32,1,10,14,14,0,6,1.465,1,602,4,,_??Ff[???????????F_@v?C??_?????A??A??@????]??@vO???_????????G???A????O???????F_???F[
single,40,1,12,18,18,0,6,1.5069,1,602,5,,g??Ff]???????????F_@v???????????????A?????]??@v??A??C????????A????_???C??????F_???F\?????C???????????_???????G?????O???????F_????@v
single,48,1,15,21,21,0,6,1.465,1,602,6,,o??Ff[???????????F_@v?????????????????????]??@v??@???A?????????_???G???@?????F_???F[?O????G???????????G?????_????@?????????F_????@vO?????A??????????????G??????G??????C?????????????]??????@v
single,56,1,17,25,25,0,6,1.4949,1,602,7,,w??Ff]???????????F_@v?????????????????????]??@v??????????????????????G???????F_???F[???A???@???????????A?????G?????O???????F_????@v??A?????O?????????????A??????A??????@????????????]??????@vO???????C????????????????G???????????A????????O???????????F_???????F[
single,64,1,20,28,28,0,6,1.465,1,602,8,,~?@???Ff[???????????F_@v?????????????????????]??@v??????????????????????????????F_???F[???@?????_???????????_????A?????C??????F_????@v??@??????G??????????????_??????_??????O??????????]??????@v?C???????G????????????????A????????_???????C??????????????F_???????F\?????????_???????????????????_????????A?????????C??????????????????F_????????@v
