graph_id,source,n,d_max,alpha,c_log,hoffman,hoffman_t,theta,theta_t,theta_prime,theta_prime_t,chi_f,chi_f_t,clique_cover,clique_cover_t,hardcore,hardcore_t,hoffman_over_alpha,theta_over_alpha,theta_prime_over_alpha,chi_f_over_alpha,clique_cover_over_alpha,alpha_over_hardcore
f5c0ecac7fd0653e,circulant_fast,53,14,8,0.800743,16.816509029604486,0.0002,12.48193363379213,0.2601,12.481933529497141,0.3989,17.66666666665634,0.0033,20,0.0003,,,2.1021,1.5602,1.5602,2.2083,2.5,
ab5b7440e9e88125,cayley_tabu,54,6,12,0.744148,16.025712071213448,0.0002,15.01441645263755,0.1394,15.014419768952454,0.2279,18.000003666927466,0.0023,22,0.0003,,,1.3355,1.2512,1.2512,1.5,1.8333,
fd67022175063a96,cayley_tabu,55,4,15,0.786925,19.53680992793258,0.0002,17.25893883386491,0.1369,17.25893347945751,0.2034,18.33333922043818,0.0022,23,0.0003,,,1.3025,1.1506,1.1506,1.2222,1.5333,
d1fa14d039db530b,disjoint_lift,56,6,12,0.717571,,0.0001,15.089667632905055,0.1615,15.070074433299705,0.3888,18.666681181236964,0.0024,24,0.0003,,,,1.2575,1.2558,1.5556,2.0,
1814d18bb343bf25,cayley_tabu,57,6,12,0.704982,15.721289253619608,0.0002,15.721327896016938,0.1432,15.72132141503969,0.1811,19.000003624010784,0.0024,23,0.0003,,,1.3101,1.3101,1.3101,1.5833,1.9167,
f48a87854d3e14d7,cayley_tabu,58,16,8,0.79597,18.706248798380628,0.0003,13.204625428119533,0.3156,13.204627038484546,0.546,19.333298308460087,0.0038,24,0.0004,,,2.3383,1.6506,1.6506,2.4167,3.0,
b18b41e2a0f86def,cayley_tabu,59,16,8,0.782479,17.374990160084177,0.0003,13.396274712193659,0.3592,13.396274367112625,0.7165,19.666631890466746,0.0038,23,0.0004,,,2.1719,1.6745,1.6745,2.4583,2.875,
92b82ff6782f83d5,cayley_tabu,60,7,12,0.719458,21.304951684997064,0.0002,15.918192472949885,0.2788,15.918192163615801,0.3455,20.00000361234474,0.0024,23,0.0003,,,1.7754,1.3265,1.3265,1.6667,1.9167,
306c877214cbce07,sat_circulant_optimal,61,10,12,0.85435,21.327164237741876,0.0002,16.297038730552305,0.3202,16.169307820564672,1.2284,20.333350505911625,0.004,27,0.0004,,,1.7773,1.3581,1.3474,1.6944,2.25,
a08f22769c20b154,sat_circulant_optimal,62,12,10,0.778896,18.757634063213693,0.0003,14.479836351370686,0.3261,14.479835274947497,0.4463,20.66666666665158,0.0034,23,0.0004,,,1.8758,1.448,1.448,2.0667,2.3,
a971505c1d077209,cayley_tabu,63,8,12,0.732797,19.150879700879354,0.0002,16.21328690216421,0.2074,16.21328253632781,0.4839,21.00000297174548,0.0026,25,0.0004,,,1.5959,1.3511,1.3511,1.75,2.0833,
6b5c735ce7b8ce7a,cayley_tabu,64,4,16,0.721348,21.333333333333343,0.0004,18.74516885496557,0.152,18.74516597933527,0.2929,21.333339945131144,0.0024,28,0.0004,,,1.3333,1.1716,1.1716,1.3333,1.75,
5c8b94aefa817a4e,cayley_tabu,65,6,15,0.772769,22.59870263739214,0.0011,18.02775658767363,0.2223,18.02775637747429,0.6023,21.66667032619285,0.0024,26,0.0004,,,1.5066,1.2019,1.2019,1.4444,1.7333,
f2f3415534fbfa30,cayley_tabu,66,8,12,0.699489,20.901085487395168,0.0005,17.012794141910547,0.2645,17.012796547284307,0.447,22.00000350717236,0.0027,27,0.0004,,,1.7418,1.4177,1.4177,1.8333,2.25,
166c02c659ac339a,cayley,67,22,8,0.849832,13.03828707032395,0.0007,13.038286776677486,0.3442,13.038310224827864,0.4027,22.3333333311505,0.0075,26,0.0005,,,1.6298,1.6298,1.6298,2.7917,3.25,
a91760afebfd2a58,cayley_tabu,68,8,12,0.678915,16.49242250247066,0.0005,16.49241483116738,0.1728,16.49241169244491,0.2882,22.66670956816406,0.0036,25,0.0011,,,1.3744,1.3744,1.3744,1.8889,2.0833,
1c7700e38ba5b1fa,disjoint_lift,69,4,18,0.75271,,0.0002,20.767077533300924,0.2986,20.767076071904963,0.3286,23.50000854946937,0.0024,27,0.0004,,,,1.1537,1.1537,1.3056,1.5,
7754aad0ab36b12f,disjoint_lift,70,6,15,0.717571,,0.0001,18.862100163831702,0.3279,18.837592616965534,0.9078,23.333351502019667,0.0041,30,0.0011,,,,1.2575,1.2558,1.5556,2.0,
a303322b3821ca1c,sat_circulant_optimal,71,12,13,0.884212,20.03430481063896,0.0013,17.71281969881238,0.4803,17.568985176511767,1.18,23.666683503575328,0.0035,28,0.0005,,,1.5411,1.3625,1.3515,1.8205,2.1538,
