graph_id,source,n,d,alpha,lam_min,hoffman,theta,theta_over_alpha,alpha_over_theta,theta_over_hoff,alpha_over_hoff,c_log
f856cd55cb058447,cayley_tabu_gap,18,7,4,-3.0,5.4,4.999959771526385,1.2499899428815961,0.8000064366075654,0.9259184762085897,0.7407407407407407,0.799397
9428e009e24721b2,sat_regular,18,3.444444,5,-2.28192,7.17288666944679,5.608348656610408,1.1216697313220816,0.8915280247611989,0.7818816768009738,0.6970694269153462,0.801497
f9e02e7a06632b49,sat_regular,18,3.333333,5,-2.0,6.7500004218750265,5.579215089650974,1.1158430179301948,0.8961834092531448,0.8265503319925972,0.7407406944444445,0.801497
fc885a0250e91f1b,regularity,18,4,6,-2.826028,7.452138198085329,6.000003298127935,1.0000005496879891,0.999999450312313,0.8051384902751146,0.8051380477004002,0.961797
3a0761da4a159d55,sat_regular,18,2,6,-1.0,6.0,5.999999991445459,0.9999999985742432,1.0000000014257568,0.9999999985742432,1.0,0.961797
779a27daa4930fb1,random,18,5,6,-3.652629,7.59853704579267,6.31026323207177,1.0517105386786283,0.9508319668037201,0.8304576517878239,0.7896256823966155,1.035558
a107a2bf38145367,cayley_tabu_gap,18,6,6,-3.0,6.0,6.00005399348181,1.000008998913635,0.9999910011673447,1.000008998913635,1.0,1.116221
6a8d281aabad2908,cayley,19,6,4,-2.285142,5.240428951006512,5.2404334399879655,1.3101083599969914,0.7632956406768494,1.0000008566057275,0.7632962945202669,0.704982
8456b132114f366f,sat_regular,19,3.789474,5,-2.354382,7.280974358774035,5.810990086823052,1.1621980173646105,0.8604385698984334,0.7981061051012275,0.6867212757005089,0.759313
d63495adef87ed4b,sat_regular,19,3.684211,5,-2.0,6.685184628086467,5.6862911945558245,1.137258238911165,0.8793077647495622,0.8505810251920356,0.7479224999999999,0.759313
27a0f604bda61c0c,circulant_fast,19,8,4,-3.992337,6.325239442487316,5.095509384280991,1.2738773460702477,0.7850049324488538,0.8055836353093456,0.632387127217915,0.809934
a58d9c4c07795f3e,circulant_fast,19,8,4,-4.04409,6.379702410061698,5.027888947762447,1.2569722369406118,0.7955625196893247,0.7881071286072452,0.6269884930198987,0.809934
13593918b1694d2d,random,19,4.947368,6,-3.45553,7.813384144374951,6.687174429793213,1.1145290716322023,0.8972399423691326,0.8558614687603036,0.767913094906456,0.981055
a4e5aaeaf3cfe2d5,regularity,19,4,7,-2.866955,7.932503562350416,6.9999999962114146,0.9999999994587735,1.0000000005412264,0.8824452382769938,0.8824452387545966,1.063038
8b3e117ff97b09dd,sat_regular,19,1.789474,7,-1.0,6.811319983624152,6.999997405579593,0.9999996293685133,1.000000370631624,1.0277005664700911,1.027700947368421,1.063038
d76f4a61474cfb29,sat_exact,20,7,4,-3.173875,6.23926478357558,5.280869949808926,1.3202174874522314,0.7574509575159543,0.8463929858707776,0.641101177582608,0.719458
18147bf6fda98e69,cayley_tabu,20,7,4,-3.854102,7.101650601772491,5.306063756099709,1.3265159390249273,0.7538544924948757,0.7471592244731635,0.5632493379780815,0.719458
7ef7f0c419362c01,sat_regular,20,6.8,4,-3.605861,6.9304423728127835,5.330440021788057,1.3326100054470142,0.7504070927822257,0.7691341670625058,0.5771637342648538,0.719458
ee577f249397b84a,sat_regular,20,6.8,4,-3.315916,6.555839332790031,5.2995365822261515,1.3248841455565379,0.7547829773296402,0.8083688927090862,0.6101430796196285,0.719458
cdb4af5bd233d3d3,server_sat_exact,20,6.9,4,-3.160642,6.283181530562363,5.279246592164363,1.3198116480410909,0.7576838721526923,0.8402186959719841,0.6366201550191386,0.719458
7834164967efd010,circulant,20,8,4,-4.236068,6.923903986149799,5.1572431389224125,1.2893107847306031,0.7756081868259145,0.744846137271499,0.5777087619934335,0.769437
517e6a25ff72f0ce,circulant_fast,20,8,4,-4.236068,6.923903986149799,5.276242307157889,1.3190605767894723,0.7581152962921158,0.7620328528113904,0.5777087619934335,0.769437
56e3dfc2e07344e1,cayley_tabu_gap,20,8,4,-4.0,6.666666666666667,5.2573106410076935,1.3143276602519234,0.7608452825289588,0.788596596151154,0.6,0.769437
0fa755aaa2cab331,sat_regular,20,4.2,5,-2.623597,7.689777107293998,5.919735254953757,1.1839470509907515,0.8446323669315948,0.7698188351049473,0.6502139048032148,0.776669
ebfc95f97c7dd2b8,sat_regular,20,4.2,5,-2.399677,7.272104377229371,5.861484081855618,1.1722968163711236,0.8530262865470597,0.8060230956267997,0.6875588881336946,0.776669
32d8df5c7be49228,circulant_fast,20,6,5,-4.0,8.0,5.9851025936673,1.19702051873346,0.8354075676648193,0.7481378242084125,0.625,0.837166
753f7baf2f9d096a,sat_regular,20,3.1,6,-2.0,7.843137254901961,6.472125950334863,1.0786876583891438,0.9270524161677608,0.8251960586676951,0.7649999999999999,0.865617
4b2e4908e1425138,sat_regular,20,2.8,6,-1.855773,7.971922170604108,6.4721261886651344,1.0786876981108557,0.9270523820298828,0.8118652001559469,0.7526415676917382,0.865617
faf540addd55bc8d,random_regular_switch,20,6.9,5,-3.73932,7.029246230022219,5.905108497757022,1.1810216995514042,0.8467244931907999,0.8400770586945787,0.7113138217643851,0.899322
8164cb9cb2f40dcb,random_regular_switch,20,6.9,5,-3.75856,7.052660021616427,5.933959988333995,1.1867919976667989,0.8426076363558004,0.8413789931949629,0.7089523647354307,0.899322
cb59de06cfb3d6a2,random,20,5,6,-3.215002,7.827148429178714,6.737864546190192,1.122977424365032,0.8904898516240721,0.860832601701049,0.7665626957619311,0.932002
cb59fbc4d0485984,random_regular_switch,20,5,6,-3.33044,7.995832152923496,6.708046599752336,1.1180077666253894,0.8944481691915381,0.8389428981822349,0.750390939335343,0.932002
bdb472884585cd8f,alpha_targeted,20,7.0,5,-3.719916,6.940196173178969,5.809598486845403,1.1619196973690806,0.8606446747260476,0.8370942754179104,0.7204407303820839,0.961797
7483a14f45b94fed,alpha_targeted,20,7.8,5,-4.44091,7.255849442565952,5.743758570219866,1.1487517140439731,0.8705101265787717,0.7916038798330755,0.6890991936337373,0.961797
4beaf44c689a3561,alpha_targeted,20,7.9,5,-4.33436,7.085552493142265,5.6469899782846475,1.1293979956569296,0.885427461218697,0.7969724285791508,0.7056612740981367,0.961797
ff04c26c59b9f4c3,alpha_targeted,20,6,6,-3.822613,7.78329147244221,6.448798948521331,1.074799824753555,0.9304058085693248,0.828543935602845,0.7708820903397755,1.004599
07f424bb4622c2c8,alpha_targeted,20,5.9,6,-4.068088,8.162223286953324,6.384318916238668,1.0640531527064447,0.9398026756994949,0.7821789103029689,0.7350938327784454,1.004599
f9edf0bcd54bdc88,alpha_targeted,20,5.9,6,-4.020756,8.105745167001386,6.729930833187141,1.1216551388645235,0.8915396233215873,0.830266766908093,0.7402157206256734,1.004599
