n,d_max,alpha,c_log,E_max,tightness,is_regular,graph_id
10,4,3,0.865617,2.987605207431851,0.9958684024772837,1,22a88f2e556f1ff1
10,4,3,0.865617,2.990764468155513,0.996921489385171,0,9cb24591b489ddc6
10,4,3,0.865617,2.9948433399041483,0.9982811133013828,0,becd0b77b8b0d807
10,4,3,0.865617,2.9922171517323983,0.9974057172441327,1,efea1f42b6121505
10,4,3,0.865617,2.993429725373219,0.9978099084577398,0,fef30baa553a0219
10,5,3,0.932002,2.990049714239131,0.9966832380797103,1,14e81196cc9db386
10,3,4,1.092287,3.9850746266203037,0.9962686566550759,1,b4e4ba402cdb56ca
10,2,4,1.154156,3.9916846818063005,0.9979211704515751,0,b4c68df907947241
11,1,6,,5.982556047691716,0.9970926746152861,0,cf19e73e83831374
11,4,3,0.786925,2.9945439355431156,0.9981813118477052,0,1f664f638dfb8806
11,4,3,0.786925,2.992531093159621,0.9975103643865403,1,2c3e71140dff24e8
11,4,3,0.786925,2.9950097014360395,0.9983365671453465,0,ac872499c0c30869
11,5,3,0.847275,2.9907167885761914,0.9969055961920638,0,9fc209c885e702cc
11,6,3,0.913272,2.9900497176031906,0.9966832392010635,1,c2a4d49cbe124fc3
11,3,4,0.992988,3.980234082635614,0.9950585206589035,0,4c1fde100f37167e
11,4,4,1.049233,3.9850746266426094,0.9962686566606523,1,336b4e63fd39e3f2
11,2,4,1.049233,3.9925145538815197,0.9981286384703799,0,f0a8b28bb63b7781
12,1,6,,5.985037406483791,0.9975062344139651,1,99047a849fcbf9bc
12,5,3,0.776669,2.993591254379872,0.9978637514599574,1,24089de3c77778ec
12,5,3,0.776669,2.994607560306613,0.9982025201022043,0,2d5c3d92c2633810
12,5,3,0.776669,2.9910506596095527,0.9970168865365175,1,301907db69ee766b
12,5,3,0.776669,2.9947487225403053,0.9982495741801017,0,99ac73d11fcecb99
12,6,3,0.837166,2.9876052135790343,0.9958684045263447,1,129ec0cf28e23170
12,3,4,0.910239,3.990033208817542,0.9975083022043855,1,25eaa849d935f0d3
12,2,4,0.961797,3.993344425956739,0.9983361064891848,1,1a2f80904c127ef2
12,4,4,0.961797,3.9844838277334853,0.9961209569333713,0,a7b5ca49e5d92fcc
12,4,4,0.961797,3.982651047641844,0.995662761910461,0,b928c994b5c56e85
12,6,5,1.395277,4.9770273673670635,0.9954054734734127,0,47e3d9e52703b92e
12,7,5,1.49887,4.976115878975065,0.9952231757950131,0,3999e82cb5d40e15
12,7,5,1.49887,4.942152178621858,0.9884304357243716,0,aba832811a1bd09c
13,1,7,,6.980062282105681,0.9971517545865259,0,30779c6795f3a455
13,6,3,0.772769,2.9947796720013677,0.9982598906671226,0,16aefce2272374df
13,6,3,0.772769,2.9943903405553893,0.9981301135184631,0,4e4be33026669813
13,6,3,0.772769,2.992531095755964,0.997510365251988,1,5cf33ba1860e4c4e
13,6,3,0.772769,2.992531095755964,0.997510365251988,1,c601b815eb1ede0e
13,4,4,0.887812,3.990033208822819,0.9975083022057047,1,018c3403f07d01f8
13,4,4,0.887812,3.9754166694778954,0.9938541673694739,1,8afd55e3de655d1d
13,4,4,0.887812,3.9915238378237348,0.9978809594559337,0,a1274b464ad3c682
13,4,4,0.887812,3.993179446393333,0.9982948615983332,0,d94f7922bff80191
13,5,4,0.9559,3.979846877887667,0.9949617194719167,0,2f03f8e074d018e9
13,6,4,1.030358,3.966886931456169,0.9917217328640423,1,c903e6d73bec1204
13,4,5,1.109765,4.934763542876965,0.986952708575393,0,68a3f1fa8b1d6a89
13,2,5,1.109765,4.990020788295484,0.9980041576590969,0,899eb32ceacac284
13,2,6,1.331718,5.965514598271449,0.9942524330452415,1,ea41502a2b9d30fe
14,1,7,,6.982543640897756,0.9975062344139651,1,76272a9fb81348d5
14,6,3,0.717571,2.9944597030894244,0.9981532343631415,0,4ee81c5778e42cd6
14,6,3,0.717571,2.9945794923860585,0.9981931641286862,0,64e21362be816e6f
