n,trials,best_c_log,best_alpha,best_d_max,best_m,mean_c_log,median_c_log,std_c_log,min_d_max,max_d_max,median_d_max,mean_alpha,mean_m,E_local_hc_best,hc_tightness_lb_best,elapsed_s
85,30,1.4527755716939592,14,30,1129,1.5400288642665325,1.5207703019253074,0.06772499620709554,30,33,31.0,14.466666666666667,1139.7333333333333,1.324495974487629,0.09460685532054493,80.91964840888977
86,30,1.4358828324882156,14,30,1162,1.5635102733215454,1.574547726073053,0.08382143075607912,30,34,32.0,14.666666666666666,1164.1666666666667,1.3156058842814458,0.09397184887724612,103.4963366985321
87,30,1.419378432114788,14,30,1168,1.5559865512978983,1.5564494763480752,0.07175564170517279,30,34,31.5,14.8,1186.1333333333334,1.339969417404081,0.09571210124314865,93.34679198265076
88,30,1.4361783804484511,14,31,1185,1.5565557351430306,1.5738491355152326,0.06540615989239448,31,33,32.0,14.766666666666667,1209.1666666666667,1.3475817411352045,0.09625583865251461,105.09872364997864
89,30,1.4200415447130752,14,31,1228,1.573986111953255,1.5561654373633764,0.08043993798673264,31,34,32.0,15.066666666666666,1230.7666666666667,1.3313147265238119,0.09509390903741513,142.29758310317993
90,30,1.4042633053273745,14,31,1240,1.5791063136478471,1.5559364407731349,0.06937982909417464,31,34,32.0,15.3,1254.5,1.3475416498947268,0.09625297499248049,134.50124192237854
91,30,1.4880341147503575,15,31,1265,1.560459438504693,1.5388382381272763,0.05575321063039605,31,35,32.0,15.166666666666666,1273.6333333333334,1.3476932256045182,0.08984621504030121,153.91405177116394
92,30,1.4718598308943753,15,31,1289,1.5823225986697655,1.5885320561364804,0.07446689766485518,31,36,33.0,15.466666666666667,1301.7333333333333,1.3498149784796907,0.08998766523197937,170.6467764377594
93,30,1.4892335905950589,15,32,1311,1.5583257926127172,1.5386820772043217,0.060084932827904045,32,35,33.0,15.3,1326.7666666666667,1.3557080710494287,0.09038053806996191,173.47476530075073
94,30,1.4056579402791016,14,33,1342,1.5373709165884066,1.506062078870466,0.06113755220522582,32,34,33.0,15.3,1346.4,1.3498185769959172,0.09641561264256551,207.8389172554016
95,30,1.4578813044772685,15,32,1349,1.57091549110528,1.5547202082629592,0.07797496968363483,32,36,34.0,15.6,1368.2666666666667,1.3751374716137033,0.09167583144091355,183.16413855552673
96,30,1.4426950408889634,15,32,1383,1.553761950827787,1.5713421542200456,0.07142520060152416,32,36,33.0,15.6,1392.5333333333333,1.3644208549254477,0.09096139032836319,224.11563563346863
97,30,1.4594828393177712,15,33,1403,1.5781893276933445,1.5903783471744883,0.06202586420686265,33,36,34.0,15.866666666666667,1417.6333333333334,1.3714021974485202,0.09142681316323469,246.81177401542664
98,30,1.4445901572839164,15,33,1458,1.57616230157602,1.574149996693116,0.061881210468959384,33,38,34.0,15.966666666666667,1444.1666666666667,1.3415819539327414,0.08943879692884943,296.5620994567871
99,30,1.4299983375133716,15,33,1440,1.5574902273840459,1.558249491676014,0.0670485310645469,33,35,34.0,15.966666666666667,1463.1333333333334,1.3895904009256386,0.09263936006170924,261.2752990722656
100,30,1.4766486738293239,15,35,1514,1.569778273821597,1.5750919187512789,0.07245381349764213,33,37,35.0,16.066666666666666,1490.9666666666667,1.3446891898564914,0.08964594599043277,400.45960521698
